"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.717264964E0,-1.543003321E-1,-1.821657181E0,2.418351173E-2,1.828340318E0
2.727263730E0,-1.398675442E-1,-2.001356125E0,1.987975836E-2,2.006336082E0
2.737262496E0,-1.453640908E-1,-2.102034569E0,4.676145315E-2,2.107573648E0
2.747261262E0,-1.372897327E-1,-2.217054367E0,2.337497473E-2,2.221424076E0
2.757260028E0,-1.346972287E-1,-2.303289413E0,2.437001467E-2,2.307353324E0
2.767258794E0,-1.043370813E-1,-2.367964745E0,3.533023596E-2,2.370525571E0
2.777257560E0,-1.010277420E-1,-2.490022659E0,2.547758818E-2,2.492201548E0
2.787256260E0,-7.784494758E-2,-2.566554070E0,4.219424725E-2,2.568080992E0
2.797255026E0,-4.733991623E-2,-2.532967567E0,3.751987219E-2,2.533687729E0
2.807253792E0,-4.107135907E-2,-2.427556038E0,4.261940718E-2,2.428277494E0
2.817252492E0,-1.877557486E-2,-2.353265762E0,2.162069082E-2,2.353439977E0
2.827251258E0,-9.471446276E-3,-2.255021095E0,3.177535534E-2,2.255264845E0
2.837250058E0,-1.342668757E-2,-2.190323830E0,3.709512949E-2,2.190679074E0
2.847248824E0,2.669124492E-2,-2.116114616E0,2.728682756E-2,2.116458850E0
2.857247590E0,3.212459385E-3,-2.013253212E0,1.668393612E-2,2.013324904E0
2.867246356E0,1.437207870E-2,-1.797930717E0,1.471638680E-2,1.798048385E0
2.877245122E0,1.924677193E-2,-1.532486916E0,1.545369625E-3,1.532608552E0
2.887243888E0,1.806976274E-3,-1.305446625E0,-2.249008417E-2,1.305641589E0
2.897242588E0,1.255399641E-2,-1.102502823E0,-2.180546522E-2,1.102789896E0
2.907241354E0,-5.804959685E-3,-8.685684204E-1,-5.857992172E-2,8.705609719E-1
2.917240120E0,4.560367204E-3,-6.922206879E-1,-7.756453753E-2,6.965676817E-1
2.927238820E0,-6.255699322E-3,-4.202051163E-1,-1.167776585E-1,4.361748446E-1
2.937237586E0,-2.137750015E-2,-1.195087433E-1,-1.564408541E-1,1.980229231E-1
2.947236352E0,1.194587350E-2,1.643638611E-1,-1.893329620E-1,2.510082732E-1
2.957235052E0,3.040317446E-3,4.673528671E-1,-2.249596715E-1,5.186856464E-1
2.967233818E0,2.191152424E-3,7.176256180E-1,-2.558554411E-1,7.618748818E-1
2.977232584E0,1.670161635E-2,9.224386215E-1,-2.960613370E-1,9.689294452E-1
2.987231350E0,1.123772562E-2,1.096131325E0,-3.262465000E-1,1.143707544E0
2.997230116E0,6.437011063E-2,1.348866463E0,-3.559899926E-1,1.396536115E0
3.007228849E0,6.333784014E-2,1.683039665E0,-3.683058619E-1,1.724031150E0
